Season,Lg,Tm,W,L,Finish,Age,Wt.,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,Playoffs
2017-18,NBA,ATL,24,58,5,25.4,212,38.2,85.5,0.446,11.2,31,0.36,27,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,40.7,86.7,0.469,11.6,30.7,0.377,29.1,56,0.52,15.9,20.6,0.772,10.3,34,44.2,26.1,8.7,5.5,15.1,20.3,108.8,0
2017-18,NBA,BOS,55,27,2,24.7,221,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104,37.4,85,0.44,9.4,27.7,0.339,28,57.4,0.488,16.3,21.3,0.763,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4,3
2017-18,NBA,BRK,28,54,5,25.1,218,38.2,86.8,0.441,12.7,35.7,0.356,25.5,51.1,0.5,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,41.7,89.4,0.466,9,24.5,0.369,32.6,64.9,0.503,17.9,23.4,0.766,10.4,36.4,46.8,21.7,7.7,5.5,12.4,19.7,110.3,0
2017-18,NBA,CHO,36,46,3,26.6,218,39,86.7,0.45,10,27.2,0.369,28.9,59.4,0.487,20.2,27,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,41.1,87.8,0.468,11.3,30.1,0.375,29.8,57.7,0.516,14.5,18.2,0.795,8.4,35.3,43.7,24.7,6.6,4.9,13.6,22.4,108,0
2017-18,NBA,CHI,27,55,5,24.4,216,38.7,88.8,0.435,11,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9,41,86.8,0.472,12.1,32.7,0.37,28.9,54.1,0.534,15.9,20.2,0.787,8.4,37.2,45.7,25.9,7.2,5.2,13.6,17.4,110,0
2017-18,NBA,CLE,50,32,1,30.6,227,40.4,84.8,0.476,12,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,41.8,88.3,0.474,11.7,31.7,0.368,30.2,56.6,0.533,14.6,19.4,0.756,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9,4
2017-18,NBA,DAL,24,58,4,27.7,213,38.1,85.9,0.444,11.8,32.8,0.36,26.4,53.1,0.496,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3,39.3,83.8,0.469,10.7,29.4,0.363,28.6,54.4,0.526,16.2,21.4,0.757,8.8,36.9,45.8,23.5,7.2,4.5,13.7,19.6,105.4,0
2017-18,NBA,DEN,46,36,5,25.1,218,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11,33.5,44.5,25.1,7.6,4.9,15,18.7,110,41.3,86.7,0.476,10.9,28.8,0.378,30.4,57.9,0.525,15,20.4,0.738,9.8,31.9,41.6,24.7,8,4.8,13.8,20.7,108.5,0
2017-18,NBA,DET,39,43,4,25.9,224,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,39.1,85.2,0.459,11.1,30.8,0.359,28,54.4,0.515,14.6,18.9,0.776,9.2,34.5,43.8,25.2,7.3,4.9,14.8,18.4,103.9,0
2017-18,NBA,GSW,58,24,1,28.8,221,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113.5,40.2,90,0.447,10.4,29.2,0.357,29.8,60.8,0.49,16.7,22,0.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5,5
2017-18,NBA,HOU,65,17,1,29.8,223,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,39.6,85.6,0.462,10.1,28.8,0.351,29.5,56.7,0.519,14.6,19.6,0.746,8.7,33.4,42,22.4,7.4,4.4,14.6,20.4,103.9,3
2017-18,NBA,IND,48,34,2,26.2,217,40.8,86.4,0.472,9,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,39.4,84.8,0.465,10.6,30.4,0.349,28.8,54.4,0.53,14.8,19.5,0.757,10.2,32.8,43,23.2,7,5.2,15.5,18.5,104.2,1
2017-18,NBA,LAC,42,40,2,27,218,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109,40.2,87.7,0.458,10.7,30.2,0.356,29.5,57.5,0.512,17.8,22.7,0.782,10.6,33,43.6,24.6,8.5,5.6,14.1,22,109,0
2017-18,NBA,LAL,35,47,3,23.7,216,40.7,88.4,0.461,10,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,41,89.9,0.456,10.4,30.1,0.346,30.6,59.8,0.512,17.1,22.5,0.761,10.2,34.6,44.8,23.6,8.3,5.5,14.3,20.5,109.6,0
2017-18,NBA,MEM,22,60,5,26,220,36.7,82.8,0.444,9.2,26.2,0.352,27.5,56.5,0.486,16.6,21.1,0.786,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3,37.1,80.3,0.462,10.7,29,0.368,26.5,51.3,0.516,20.6,26.8,0.769,9.5,33,42.5,22.1,8.1,5.1,14.8,20.4,105.5,0
2017-18,NBA,MIA,44,38,1,26.5,217,38.8,85.3,0.455,11,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,37.7,83.8,0.45,9.6,26.6,0.36,28.1,57.2,0.491,18,23,0.783,9.1,34,43.1,21,7.5,4.6,14.1,19.4,102.9,1
2017-18,NBA,MIL,44,38,3,25.9,218,39.7,83,0.478,8.8,24.7,0.355,31,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,39.1,83.7,0.468,10.1,27.1,0.372,29,56.6,0.513,18.4,23.5,0.783,10,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8,1
