Season,Lg,Tm,year,W,L,Age,Wt.,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,Playoffs
2017-18,NBA,ATL,34,-1.414703164,1.414703164,-0.65308476,-1.758791528,-1.026839981,-0.369132037,-0.964502348,0.48204556,0.506797067,-0.156249862,-0.992263598,-0.599612832,-0.725889704,-0.474683016,-0.653388773,0.741998511,-0.668584933,-0.738927626,-0.94976703,0.239129687,0.13097946,-0.763169792,1.313829914,-0.1863795,-0.785840417,0.760662665,0.256567127,0.827458269,1.312820358,0.854785953,1.449583059,-0.012663913,-0.359007958,0.593658691,-0.466606245,-0.533171043,0.367852451,0.860033855,0.130549256,0.474978943,1.801947663,1.635758476,1.348655025,1.047754162,0.373957184,0.75772849,0
2017-18,NBA,BOS,34,1.165049664,-1.165049664,-1.08986119,0.794292948,-0.953841878,-0.631237627,-0.694081135,0.684775002,0.355010924,1.376201002,-1.038995008,-0.552584374,-0.910047765,-0.357957684,-0.431650501,0.148399702,-0.343327398,0.949350719,0.577693345,-0.384686888,-0.473541121,-0.3836931,-0.266717351,-0.113764111,-0.625282785,-1.535239897,-0.424939304,-1.920208607,-1.304887917,-0.653659847,-2.142861991,-0.848482022,0.115153496,-1.44903788,-0.208575141,-0.185450797,-0.326694086,-0.154612828,0.270423457,0.195579565,-1.218779506,-0.867953477,-0.822350626,-0.204541644,-0.560935777,-1.815689059,3
2017-18,NBA,BRK,34,-1.081831831,1.081831831,-0.840274658,-0.056735211,-1.026839981,0.48271113,-1.302528864,1.495692771,1.695788526,-0.516826536,-1.693234743,-1.399096608,-0.495692129,0.459119642,0.410954932,0.190799617,-0.018069863,0.7291405,0.518944869,0.239129687,-2.287102863,-0.004216407,0.918693097,0.539774386,0.070466952,1.456390714,1.338959694,0.543216868,-1.780834876,-2.2626687,0.693278838,2.646757341,2.65530414,-0.491523862,0.823549278,0.857709944,-0.095178574,1.004983381,1.809039666,2.291074901,-0.967052242,-0.033382826,1.348655025,-2.333444514,-0.135984431,1.217267339,0
2017-18,NBA,CHO,34,-0.416089166,0.416089166,0.095674835,-0.056735211,-0.442855159,0.417184733,-0.694081135,-0.328872208,-0.454515175,0.655047654,-0.104366813,0.552584374,-1.094205826,2.093274294,2.362251725,-0.869198255,0.415606849,1.169560938,1.165178105,-0.852549319,-1.380321992,-0.3836931,-1.550912003,-1.929148824,0.498620636,1.038953884,0.697541877,0.732711135,0.955860139,0.553096793,1.260507004,0.519220338,0.216759522,0.33832162,-1.369715111,-1.725354747,2.14280471,-1.894007142,1.039731562,0.12572972,0.920902239,-1.869438258,0.164470124,-0.830689547,2.158752838,0.512641105,0
2017-18,NBA,CHI,34,-1.165049664,1.165049664,-1.277051088,-0.624087316,-0.661849467,1.793239079,-1.708160683,0.346892599,0.532094758,-0.606970704,-0.71187514,0.176356715,-1.508561462,-1.17503501,-1.096865317,-0.360399277,-0.126489042,0.875947313,0.695190297,0.135160258,-0.171280831,-1.648615407,-0.266717351,-0.476841054,-0.919638443,0.96938108,0.296655741,1.11169967,1.907754057,1.860416487,0.787816865,-0.164630842,-1.002512787,1.487338441,-0.466606245,-0.731868327,1.525430011,-1.894007142,2.36853647,1.522726611,1.676084031,-0.867953477,0.756562575,-0.830689547,-2.090760622,1.125359569,0
2017-18,NBA,CLE,34,0.748960498,-0.748960498,2.59154015,2.496349266,0.579118279,-0.827816819,1.063656748,1.022657406,0.785071664,0.92548016,-0.338023862,-1.046383177,1.345888478,0.867658305,0.721388513,0.487599021,-1.319100002,-0.078296969,-0.832270078,0.083175543,-0.926931557,-1.269138715,-0.563069963,-0.912533385,1.221129978,1.525963519,0.897984945,1.301193937,1.431807098,1.35760122,0.59874081,0.823154195,-0.155795906,1.423504173,-1.305207335,-1.129262895,-0.866896947,0.28023575,-0.079262045,0.055879876,1.676084031,-0.367211086,-1.414443076,-0.955919128,0.713918261,1.094723646,4
2017-18,NBA,DAL,34,-1.414703164,1.414703164,0.782037797,-1.475115475,-1.099838084,-0.107026447,-1.099712955,0.887504445,0.962155498,-0.156249862,-1.272652056,-0.928812034,-0.679850189,-1.408485674,-1.318603589,-0.190799617,-1.752776715,-0.518717407,-1.302257886,-0.280717459,-1.078061702,-1.269138715,-1.946048819,-0.476841054,-1.080196075,-0.213356604,-0.906002667,0.827458269,0.2419397,0.201126107,0.126050672,-0.392581235,-0.900906762,0.976664298,-0.273082917,-0.135776476,-0.78972511,-1.314209037,2.158725169,1.592576456,0.165720447,-0.867953477,-0.624986476,-0.705459966,-0.2209747,-0.283892899,0
2017-18,NBA,DEN,34,0.416089166,-0.416089166,-0.840274658,-0.056735211,0.798112588,0.351658335,0.658024929,0.684775002,0.481499377,0.835335991,0.035827416,-0.317442087,0.65529575,0.284031644,0.277911969,-0.021199957,1.391379453,-0.225103782,0.577693345,0.966915691,-0.171280831,0.122275823,0.721124689,-0.839917996,0.98029353,1.178099494,0.256567127,1.490688204,0.47991318,-0.100563053,1.544121087,0.975121124,0.284496872,0.91283003,-1.047176231,-0.632519685,-2.25599002,0.135286224,-1.338129852,-1.341117015,0.920902239,0.467359565,-0.032894026,-0.580230386,0.713918261,0.665820721,0
2017-18,NBA,DET,34,-0.166435666,0.166435666,-0.341101595,1.645321107,-0.369857056,0.548237527,-0.694081135,0.211739637,-0.024454435,1.015624328,-0.384755272,0.223385173,-1.048166311,-1.116672344,-0.830779391,-0.953998085,0.415606849,-0.151700375,0.107705537,-0.228732744,-0.020150686,-1.142646484,-0.760638371,-1.057764162,-0.678801996,-0.352502214,-0.344762077,-0.120013068,0.717886659,0.90506748,-0.252101439,-0.848482022,-0.900906762,0.274487352,-1.305207335,-1.3776345,0.6765398,-0.734410933,0.480234759,0.195579565,1.235561319,-0.701039347,0.164470124,0.67206542,-1.24085793,-0.743431747,0
2017-18,NBA,GSW,34,1.414703164,-1.414703164,1.468400758,0.794292948,2.331072745,-0.631237627,2.888999934,0.549622041,-0.024454435,2.638219361,1.110649839,-0.199870944,2.266678781,-0.007781687,-0.609041119,2.013995958,-1.42751918,0.949350719,-0.009791415,3.150273704,0.43323975,3.411073823,1.21504571,-0.1863795,1.916879714,0.41279864,1.579491376,-1.256978671,-0.115020519,0.100563053,-0.441177494,0.519220338,1.266688454,-1.321369345,0.049455964,0.16226945,-0.712553273,1.729731011,-1.547941154,-0.712468414,0.228652263,1.635758476,-2.203899676,0.045917517,-1.155867661,0.359461489,5
